CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/07/2016,23:45,,,,,,,,REAR OF 43-18 MAIN ST                   ,0,0,0,0,0,0,0,0,Unspecified,,,,,3385904,PASSENGER VEHICLE,UNKNOWN,,,
02/07/2016,6:00,,,,,,,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,,,,,3385605,PASSENGER VEHICLE,,,,
02/07/2016,18:15,BROOKLYN,11218,40.6433056,-73.9740952,"(40.6433056, -73.9740952)",OCEAN PARKWAY                   ,BEVERLEY ROAD                   ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,,,3385681,BUS,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
02/07/2016,17:20,QUEENS,11364,40.7387326,-73.7572959,"(40.7387326, -73.7572959)",BELL BOULEVARD                  ,75 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385351,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/07/2016,10:40,,,,,,ROCKAWAY BOULEVARD              ,116 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385276,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,18:42,BROOKLYN,11229,40.595394,-73.945786,"(40.595394, -73.945786)",BEDFORD AVENUE                  ,AVENUE W,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3611690,Sedan,Sedan,,,
02/07/2016,6:10,BROOKLYN,11230,40.6152042,-73.9633618,"(40.6152042, -73.9633618)",CONEY ISLAND AVENUE             ,AVENUE N                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3385154,TAXI,,,,
02/07/2016,10:20,BROOKLYN,11201,40.6896895,-73.9923627,"(40.6896895, -73.9923627)",ATLANTIC AVENUE                 ,COURT STREET                    ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3385208,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,22:33,,,40.6425396,-73.8765111,"(40.6425396, -73.8765111)",,,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3385745,PASSENGER VEHICLE,,,,
02/07/2016,15:30,QUEENS,11379,40.7279121,-73.8732414,"(40.7279121, -73.8732414)",ELIOT AVENUE                    ,85 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385840,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
