CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,13:15,QUEENS,11433,,,,ARCHER AVENUE                   ,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3422662,4 dr sedan,4 dr sedan,,,
03/18/2016,14:00,,,,,,,FOSTER AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3416303,Pick-up Truck,Pick-up Truck,,,
03/18/2016,19:45,MANHATTAN,10128,,,,EAST 94 STREET                  ,3 AVENUE,,1,0,0,0,1,0,0,0,Pavement Defective,,,,,4021965,Bike,,,,
03/18/2016,5:30,,,40.73723,-74.000656,"(40.73723, -74.000656)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3405903,Pick-up Truck,4 dr sedan,,,
03/18/2016,10:50,BRONX,10458,40.85569,-73.881035,"(40.85569, -73.881035)",,,2475      SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3413573,4 dr sedan,Box Truck,,,
03/18/2016,17:45,,,40.700306,-73.76599,"(40.700306, -73.76599)",,,MANGIN AVENUE                           ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3428211,4 dr sedan,4 dr sedan,,,
03/18/2016,3:20,STATEN ISLAND,10305,,,,HOPE AVENUE                     ,EGBERT PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3429619,,,,,
03/18/2016,14:00,BRONX,10475,40.869404,-73.82711,"(40.869404, -73.82711)",,,2090      BARTOW AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3412489,Sedan,Taxi,,,
03/18/2016,20:45,,,40.76739,-73.97073,"(40.76739, -73.97073)",,,5 AVENUE                                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3408519,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,9:00,,,40.8574,-73.90567,"(40.8574, -73.90567)",,,DAVIDSON AVENUE                         ,2,0,0,0,0,0,2,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,3412815,Taxi,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
03/18/2016,17:00,BRONX,10452,40.674,-73.8721,"(40.674, -73.8721)",UNIVERSITY AVENUE               ,WEST 166 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3412172,4 dr sedan,,,,
03/18/2016,22:30,,,,,,RICHMOND TERRACE                ,PORT RICHMOND AVENUE,,0,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3429953,4 dr sedan,4 dr sedan,4 dr sedan,,
03/18/2016,9:40,,,,,,,,904       Post ave                      ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3429931,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/18/2016,17:25,STATEN ISLAND,10310,,,,DONGAN STREET                   ,CARY AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3429627,,,,,
03/18/2016,13:00,,,,,,,goethals rd ,,0,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3429936,Sedan,,,,
03/18/2016,14:30,BRONX,10471,,,,BROADWAY                        ,MOSHOLU AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3413998,4 dr sedan,4 dr sedan,,,
03/18/2016,17:54,QUEENS,11106,,,,31 AVENUE                       ,12 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3428708,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
03/18/2016,20:37,BRONX,10462,40.83264,-73.85679,"(40.83264, -73.85679)",,,2007      NEWBOLD AVENUE                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3411733,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,12:30,,,,,,,,,0,0,0,0,0,0,1,0,Passing Too Closely,Unspecified,,,,3408034,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,1:16,MANHATTAN,10026,,,,WEST 116 STREET                 ,7 AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3410118,4 dr sedan,4 dr sedan,,,
03/18/2016,21:19,,,,,,,,WEST 54 STREET                          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3408036,2 dr sedan,2 dr sedan,,,
03/18/2016,16:50,MANHATTAN,10030,40.82051,-73.94046,"(40.82051, -73.94046)",,,200       WEST 143 STREET               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3410311,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,7:30,BROOKLYN,11212,,,,EAST 96 STREET                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3432200,4 dr sedan,,,,
03/18/2016,0:52,,,,,,FLATBUSH AVENUE                 ,GLENWOOD ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3417310,4 dr sedan,4 dr sedan,,,
03/18/2016,16:21,QUEENS,11416,40.689938,-73.84253,"(40.689938, -73.84253)",,,102-20    ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3422206,4 dr sedan,4 dr sedan,,,
03/18/2016,19:35,MANHATTAN,10011,,,,WEST 19 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3406571,2 dr sedan,4 dr sedan,,,
03/18/2016,16:00,,,40.7244,-73.9818,"(40.7244, -73.9818)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3430412,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,18:25,MANHATTAN,10016,,,,EAST 33 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3407587,,,,,
03/18/2016,17:30,QUEENS,11693,,,,CROSS BAY BOULEVARD             ,WEST 10 ROAD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3421951,Sedan,Sedan,,,
03/18/2016,8:30,,,,,,20 AVENUE                       ,WHITESTONE EXPRESSWAY,,0,0,0,0,0,0,0,0,Fell Asleep,Passing or Lane Usage Improper,,,,3426082,4 dr sedan,Sedan,,,
03/18/2016,20:13,,,40.67447,-73.8027,"(40.67447, -73.8027)",,,ROCKAWAY BOULEVARD                      ,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3424464,2 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,16:45,,,40.7339,-73.9542,"(40.7339, -73.9542)",,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3408026,Taxi,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,11:20,,,40.722775,-73.94707,"(40.722775, -73.94707)",,,MC GUINNESS BOULEVARD                   ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3421655,4 dr sedan,,,,
03/18/2016,7:35,BROOKLYN,11237,40.705788,-73.930824,"(40.705788, -73.930824)",,,60        GRATTAN STREET                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3421269,Box Truck,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,13:30,MANHATTAN,10128,,,,EAST 88 STREET                  ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3408517,4 dr sedan,4 dr sedan,,,
03/18/2016,14:40,QUEENS,11379,,,,JUNIPER VALLEY ROAD             ,70 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3423191,4 dr sedan,Van,,,
